Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20041207,1600,41.3897,41.9541,41.3204,41.3600,6350400
HD,20041208,1600,41.5855,42.2885,41.5459,42.1400,5893900
HD,20041209,1600,42.1432,42.5690,41.7868,42.4700,5861300
HD,20041210,1600,42.5269,42.6062,42.1111,42.2200,4620400
HD,20041213,1600,42.3301,42.4489,41.8053,42.3400,4595500
HD,20041214,1600,42.2795,42.3785,41.9330,42.2300,5186000
HD,20041215,1600,42.3274,42.3274,41.9017,42.0700,4959200
HD,20041216,1600,42.0710,42.2294,41.6452,42.1700,7310000
HD,20041217,1600,42.0852,42.2338,41.5703,41.6000,8841600
HD,20041220,1600,42.1319,42.1319,41.3002,41.3200,5614900
HD,20041221,1600,41.2445,41.7495,41.1157,41.7000,5506300
HD,20041222,1600,41.7832,42.2287,41.6247,42.1000,5144700
HD,20041223,1600,42.1000,42.4168,42.0307,42.1000,3565700
HD,20041227,1600,42.0971,42.4436,41.7110,41.8100,4526800
HD,20041228,1600,41.9447,42.5784,41.9150,42.4200,4482100
HD,20041229,1600,42.1820,42.5285,42.1721,42.3800,4837100
HD,20041230,1600,42.5198,42.6683,42.3812,42.5000,3358100
HD,20041231,1600,42.4289,42.5477,42.2606,42.3200,3616200
HD,20050103,1600,42.5711,42.7988,42.5117,42.6800,7294600
HD,20050104,1600,42.8132,42.8429,42.1102,42.1300,6899600
HD,20050105,1600,42.0867,42.8294,41.7104,41.7500,6868300
HD,20050106,1600,41.7438,41.9121,40.7735,41.1200,8912200
HD,20050107,1600,41.2179,41.2476,40.6041,41.0100,7015500
HD,20050110,1600,40.8454,41.6375,40.8454,41.3900,6102200
HD,20050111,1600,41.1713,41.4287,41.1713,41.3000,4569700
HD,20050112,1600,41.2355,41.8295,40.8989,41.7800,6468700
HD,20050113,1600,41.6369,41.7854,40.9932,41.3200,8269600
HD,20050114,1600,41.3910,41.5890,41.3217,41.4900,4186200
HD,20050118,1600,41.1063,41.8292,41.0964,41.7500,7041700
HD,20050119,1600,41.5682,41.8059,41.3702,41.3900,4310700
HD,20050120,1600,41.4036,41.4036,40.4628,40.7500,6664100
HD,20050121,1600,40.7476,40.9852,40.4604,40.5000,6068200
HD,20050124,1600,40.6930,40.7029,39.9207,39.9900,6174100
HD,20050125,1600,40.0908,40.4769,40.0710,40.1700,5137100
HD,20050126,1600,40.4191,40.4191,40.1221,40.3300,5664000
HD,20050127,1600,40.1214,40.6561,40.1115,40.2600,5813200
HD,20050128,1600,40.3466,40.4159,39.8813,40.0100,5598400
HD,20050131,1600,40.1966,40.9292,40.1966,40.8500,6341200
HD,20050201,1600,40.7994,40.9083,40.5816,40.7400,5558000
HD,20050202,1600,40.6722,40.9395,40.6128,40.8900,3586000
HD,20050203,1600,40.7936,41.2095,40.7441,41.1600,4831700
